,text
0,"The phone I received was by all estimations brand new. Not a mark on it and fully charged. However, being new to the Apple World, I can honestly say Windows & Android are both in plain, simple, super easy to understand English. Apple is not. Even its keyboard is not a full Standard Keyboard, like it is with Windows & any Google machine. Android is Google, that's why I say it that way. No getting around it. Just keeping it short & to the point. Apple's iPhone keyboard takes extreme amount of effort to use because it is not the Standard keyboard of every other operating system. Thankfully, I was able to connect a Bluetooth keyboard to it. Otherwise, it's a serious no-go for keyboard use.As for Apple's iPhone Touchscreen, again, I find it sorely lacking. There's no such thing as the simple pinch & zoom on it. That particular luxury seems to be found only within the Camera & Picture sections. You'd think it'd at least be within the iBook section but it's not. On most everything Windows or Google, every app is not just touch & activate, but also affords the luxury of pinch & zoom as well as easy swipe & easy app close & dismiss. Can't say that about the Apple iPhone.And for some unknown reason its WiFi also keeps turning itself on. I can't seem to keep it off no matter how often I manually turn it off.For Apple being so USER-FRIENDLY, I cannot at all say that it is. In fact, IT IS ANYTHING BUT USER-FRIENDLY.  If the Apple World was so user-friendly, then it would be a very simple and easy transition from the Windows or Google platform to Apple. And I can honestly say it is Not at all simple or easy. I was so hoping it would be as simple & easy as my Windows machine & Android phone, but sadly, it's actually quite maddening.If you enjoy Kindle reads, you'll need to install the app for it. But I can also tell you, Apple's iBook seriously pales in comparison to Kindle. Ironically, the Google Search Engine is installed on Apple's iPhone but Kindle is not. I avoid Google anything & everything as much as can be done. But for Apple to deny Amazon's Kindle Apple on its phones, seems almost a crime.I have yet to install the Kindle reading app or to test out the camera on the iPhone. When I do I'll update my review. But currently I can't say it's anything to brag about. And I most certainly did not expect to see Google's Search Engine/Web Browser on it.Size wise, it's the exact same size as my Sony Xperia Z3v. It still functions quite well. Not perfect, but well enough for me since I have it locked to call, text, Kindle reads & camera.  I can easily read, pinch & zoom & highlight my Kindle reads, pictures & text messages on it. Can only do that with pictures on the iPhone. So for it being so great, I actually find it quite limiting. Not because it's an iPhone, but because the Apple creators decided to create a platform that is quite complex and extremely arduous to use. Apple created its own ""language"" that must be learned in order to navigate the complexities of its Eco-system.  Even now, trying to login to the Apple App Store, no keyboard appears so I can actually install Apps necessary for my personal use. Yet you're required to sign in to it. How can you sign into the App Store when NO KEYBOARD APPEARS TO LET YOU?! So, even if I did not want to use the phone feature, but instead use it as a computer tablet, I cannot because it won't let me login to the App Store. ... Like I said, to anyone new to the Apple world, it's quite a infuriatingly maddening conundrum. If Apple wants to gain new customers and retain them, then Apple needs to change how it operates. And if Apple is supposed to be the safest of all online platforms, then it should not sport Google's web browser.The phone I received was/is like brand new. Operating it though, takes considerable patients as it is quite the learning curve. It should not be so difficult to transition from Windows, Android or Google to Apple. They all made sense to everybody from the moment they came out because they were in simple English and easily understood and simple to navigate because of it. Apple on the other hand, not by a long shot. Even Apple's touchscreen capabilities sorely lacks in comparison. And that's sad. You'd think their touchscreen capabilities would be at least on-par with Windows, Google & Android but it is not. You'd think Apple's touchscreen capabilities might even be better than Windows, Android & Google, but no. Thus far I can find nothing to brag about regarding Apple anything. I was so hoping to find something better about Apple. Instead, I'm greatly disappointed and left seriously frustrated.The iPhone itself came fully charged and appears in brand new condition. It also came with an original Apple Charger.I give the seller a stellar 5 star rating, along with the iPhone I received.I give Apple itself a mediocre 3, even 2 star rating.So to anyone new to the Apple world, maybe an iPad would be easier to use. I started with a phone since I need both a new phone & a new computer and figured Apple would be a serious upgrade to Windows and for sure compared to Google's Android. ... Apple is not at all user-friendly to a first time user. Only Windows, Google & Android can actually claim user-friendly bragging rights, from day one for any first time user.Apparently I need either direct Apple support or YouTube's Apple education in order to learn how to make the best use of this phone.  I don't fault the phone for anything. It's an Apple thing. It's very nearly like you gotta go to MIT to learn it. And that's just not right.Will update as I learn how to navigate Apple's world & extremely clunky Eco-system.1st Time Apple iPhone User Assessment. -Phone - good. - can't give it high marks due to Apple itself.Apple - not worth all the money & certainly nothing to brag about."
1,"I purchased this phone with the intent of having it for a very short period of time.  My plan was to use it as a trade-in since my previous phone was too old to qualify (iPhone 6 Plus).  I purchased the phone for around $250 and got an $800 trade-in value on an iPhone 14 Pro Max, when switching from one carrier to another.  I'd been with the previous carrier for 20 some years but it was time for a change.The only thing that kept me from giving this 5 stars, is that it had non-Apple parts on it that the new carrier was somehow able to identify, maybe battery, maybe screen?  Perhaps there is some history somewhere of previous iPhone repairs.  Anyway, the replacement parts were determined to be acceptable and the $800 credit was given.  I ended up using the phone for a couple of weeks while waiting for my new phone to come in.  The phone functioned to my satisfaction.I didn't rate the face recognition because after two attempts, I did not get it to work.  My wife said I wasn't doing it right and that may be the case.  I was trying to follow the camera with my eyes when moving the phone around in the circle.  The app completed, be then said I was unable to use face recognition.  The front camera did work, so again, perhaps the failure was unrelated to the phone.For anyone who wants to try to save a few hundred dollars on trading in a phone, this may be the way to go.  As I found out though, there could potentially be some risk depending on the parts used for any repairs made."
2,This is my 2nd used iphone Ive gotten from Amazon. My wife bought 2 as well. I am not the guy that is into getting a new phone every year. I hold on to my phones as long as I can. I pay cash for it vs financing a phone like some do and cant justify spending over $1k on a phone when people sell cars for $1k-$2k. Phones have always worked fine and each one was a fair price. I will continue to buy my phones from Amazon until I get a reason not to.
3,I’ve had the phone for almost 10 months now and honestly have little to no complaints. I upgraded from an iPhone 7 to the XR (yes I know I’m always behind). I’d recommend the XR for somebody who wants to remain in the Apple ecosystem without breaking the bank. Maybe the battery life could be a little better for somebody like myself who puts a lot of hours into my phone. But it’s dependable and if you have a prior iPhone you can set it up almost instantly. Gonna try to make this phone last as long as possible
4,"I asked for my phone to be renewed fairly okay for cheaper, and my phone came in BRAND NEW, not a single SCRATCH, no crack no nothing , speaker sounded GREAT, comes with a charger, and is very nicely package, I’ve bought so many red iPhone XR’s off Amazon from different people and this was by far the overall BEST ONE. Thank u , I WILL use yall again! ✅✅✅"
5,"The phone was labeled as “excellent condition.” I had purchased a phone from Amazon renewed around two years ago, the phone I received then was in near perfect condition with no visible scratches/scuffs when examining. However, I can’t say the same about this purchase. The iPhone XR I purchased from the same seller as before had scuffs around the rear camera casing, dust scratches (probably from cases) and had a few minor scratches on the front. The battery health was a 100% (probably replaced with an unofficial battery). I’m still keeping the phone because it’s an emergency but don’t expect to get a perfect looking phone. 6.5/10.Update: I’m returning this because I’ve found a better looking used iPhone XR from a different seller!"
6,"El teléfono está en muy buen estado, no tiene ningún golpe o quebradura en la pantalla o la parte de atrás del teléfono. La batería tiene un 86% de vida pero es un teléfono que salió al mercado hace un tiempo es entendible, pero todo funciona muy bien, además viene sin ningún bloqueo de línea que es lo una de las cosas más importantes."
7,I have had this phone for a few months now. It has little to no issues. There were no scratches that I could personally see and the set up was super easy. the box it came in was a little sketchy. there wasn't a whole lot of protection around the phone but I mean the phone came in almost perfect condition. The battery life is a little crappy. total charge is at 86% and it does die a little faster than I would like but that is manageable just by turning on battery saver mode. maybe it is just an iPhone thing but some of the apps will say they have notifications but when I go into them nothing shows up. Seeing as this is really my first iPhone I would say its pretty good.
8,"The phone came in a generic box and had a generic cord and wall plug included.  No visible scratches, hard to tell it wasn’t brand new.  Battery had 80% battery life left, which is why it got a 3.  Would purchase again, it shipped quickly and the price was good.  Needed it to replace a broken iPhone14."
9,"The packaging was a concern because it only had the bubble wrap protecting it but …Looked brand new, had a few scratches but not too noticeable.. it also came like 4 days earlier:) also came with a chargerJust started using it so I’ll see how it goes"
10,I was very nervous about purchasing a reconditioned phone.  Wife made fun of me and called me cheap. The phone is spotless and runs great. Call quality is excellent and camera is great. I bought the same iPhone XR brand new a few years ago and gave that one to my son and now I use this one.  The reconditioned phone has been great and is worth the savings.
11,I like it so far I see it fine It’s working very well I but it for my son he like it he haven’t complained the screen the face recognition and battery looks good so far I say if I need another one I definitely will buy it again If I don’t see nothing bad!
12,I went on a search for a new phone when my renewed 8S finally gave up the ghost. I wanted a phone that was functional without the need for glitz and glamour. My son-in-law put the XR at the top of his preferred list. The renewed phone I received from Kiss Electronics exceeded my expectations. It appears brand new in function and performance. Battery life is 86%. I especially like the way Kiss packaged the phone was for protection. It came with a new charging cable and SIM card key. The price was reasonable as well.
13,"Face recognition is very fine, Battery life is not too good just 89% and don’t take too much time without charging. The Screen is fine very clear. The cellphone looks very good, I liked. Looks like new"
14,"Phone is an IPhone X. It looks great, works great when it wants to. It does have an issue called “Ghost touch” which is common on the iPhone X. It opens apps and causes areas of messages not to work, will swap phone calls when you have multiple callers. It is  a pain in the butt!  Phone looks great and works fine 50% of the time.  It is a know issue with IPhones and it wasn’t corrected on this refurbished phone. The other iPhone I bought from them works just fine."
15,"The phone arrived just as described. For a refurbished item, I just noticed a couple small scratches on the back,  and the battery life is 91%. My grandson said that was really good for a phone this old.  So for just having it a week,  I think it's just as good as new for the fraction of the price.Thank you!!"
16,Bought this for my daughter.  She's been bugging me for 2 years to get her an iPhone.  I can't afford anymore $on our Verizon bill so I said no.  Then she sent me the info for this and I decided to take a chance.  She loves it!  I won brownie points with my daughter and Amazon won brownie points with me.  I did purchase the insurance though just to be on the safe side.
17,"The phone seems to be in great condition. The battery life wasn’t however on 100%, yet it was on 89% overall seems like a decent phone I have set it up and I am using it. Let’s see how it goes! Thanks!"
18,This IPhone looks brand new.  Not a scratch or blemish any where.  Takes great pictures too!  Thank you TRADEMORE SERVICES for sending a great phone!
19,"Everything Is Perfect , Works As It Should Performs Ad Should Also , It Came Wen Expected To , Even Included A Glass Screen Protector Already On It & Also A Charging Cable (NoFastCharger) W/The A/C Wall Adapter"
20,"I’ve been an Android user since the beginning but finally decided to switch to Apple based on recent and upcoming Google changes.Very happy with this iPhone XR! I chose this model because it was new enough while not being too heavy an investment.  I was using a MotoZ and this XR is equal in size and efficiency. I also used a Samsung Note10 and this is a bit smaller.  The size fits nicely into my small purse and pockets. I chose the 256GB because I know having a faster phone with more storage matters. Nothing worse than a sluggish device.The face recognition works great and is much handier than using my fingerprint. I haven’t had any issues logging in regardless of how my hair is styled and whether I’m wearing glasses or not.I love the color! It’s more of an orange than red. The camera is faaar better than any of my previous phones, except for the Sony I once owned.This model came with the power cord, power plug, and ear pods making it ready to go straight out of the box. Just needed to give it a good charge before using.Buying refurbished devises has been something I’ve had only success with. I’m always careful and do my research on the seller before buying. Plus I invest in the extended warranty through Amazon plus in this case I chose Apple Care. Money is always a huge issue for me but in this case I won’t buy without the added protection. Phones are too essential not to.Learning the Apple layout and differences has been new but not a struggle. I find the biggest issue is the power button is on the opposite side of the device. For things I haven’t known how to do I’ve used Apple.com and searched Google.It’s impossible to get away from Google completely but at least I know my info is safe now.I would totally recommend this seller and product to friends and family!"
21,"the first thing i will say is directed towards everyone no matter what phone you get, i highly recommended you check EVERYTHING when you buy a used/renewed phone. such as water damage (open the sim tray and shine a light inside you should see a little strip. if it’s white your phone isn’t water damaged, if it’s red or pink, it is damaged inside. id recommended watching a video to help with that as well to make sure you’re doing it correctly) you should also check the battery life (settings-battery-battery health-battery capacity. you should have above 85% imo but amazon renewed promises 80% or higher for normal refurbished, 90% or higher for premium.) you should also check the authenticity of the phone. (settings-general-about-press model number-search up serial number on apple.com. when you press your mode number, the first letter will either be M or some other numbers (google to find out.) but M means this is an official apple phone and wasn’t replaced as a part of apple care+ or etc.) obviously check the screen, display and chipset by either running benchmarks by an app or jus looking it up :) ) i can’t think of anything else to test. so i will say that this is amazing tbh, perfect condition only a tiny nick toward the top of the phone, 89% battery life, for only $240 this is an amazing deal :) buy it if you have the money it is an amazing phone, some sellers may sell bad phones etc so just be careful what seller you buy it from."
22,"I’m excited about this phone,I have to issues facial recognition works fine,battery like is ok and screen quality is great.For a old used phone I don’t have any complaints honestly I love it."
23,"Even my refurbished version of this phone is great! Great battery life, excellent screen and the camera is also pretty impressive. Would order another one!"
24,Love the phone!!! Works perfectly and it was unlocked for me to use!!! Highly recommended to get it from this seller!!
